region_name,province_name,year,area,population,population_density,temp_mean,total_precip,snowfall,precip_hours,sunshine_hours,grdp_per_capita,monthly_income_per_capita,central_administrated,airport,maritime_port,predicted_migration_rate(%)
Đồng bằng sông Hồng,Hà Nội,2025,3358.6,8780.104265582237,2615.738526942773,23.809059369251234,1817.7717207050973,0,2114.9808652990355,145356.59519668538,178.56377430921296,8.696458943046771,1,1,0,6.2205228662013985
Đồng bằng sông Hồng,Vĩnh Phúc,2025,1235.2,1235.0924565676303,1000.3733190821356,23.709021304674547,1760.5669862738018,0,2170.478931898008,145827.1048967398,154.41285991365848,6.726797381111675,0,0,0,-0.5930446770980781
Đồng bằng sông Hồng,Bắc Ninh,2025,822.7,1560.3226874167904,1897.573656823141,23.809059369251234,1872.9479184544318,0,2156.3521513091787,147478.87305985458,176.1596108852211,6.62313098311509,0,0,0,21.200282620710194
Đồng bằng sông Hồng,Quảng Ninh,2025,6177.8,1408.8626262222183,228.59895865779842,23.408907110944487,2143.9604191643984,0,2729.4958209131155,169288.79197402974,269.8127042652673,6.795908313109398,0,1,1,-2.303533105240385
Đồng bằng sông Hồng,Hải Dương,2025,1668.2,1992.7768967142465,1195.5927837766271,23.709021304674547,1835.0142825017645,0,2173.506099167043,151475.21498256258,113.76064201706896,6.7728713357768235,0,0,0,-1.1718829600295038
Đồng bằng sông Hồng,Hải Phòng,2025,1561.8,2144.924355903962,1374.6282513980002,23.709021304674547,1789.1693534894496,0,2039.3016835731632,162327.84020394494,223.1500778086982,8.097497532399842,1,1,4,3.648383112761317
Đồng bằng sông Hồng,Hưng Yên,2025,930.3,1328.0933617928897,1428.2377417027053,23.809059369251234,1799.3120368992538,0,2079.6639138269616,147305.42245008875,133.64963034281973,6.761352847110536,0,0,0,6.177228860097077
Đồng bằng sông Hồng,Thái Bình,2025,1586.4,1908.7222742198953,1203.6847823131864,24.009135498404603,1754.6842298961155,0,1984.8126727305355,158388.31830857403,75.18474707756336,6.565538539783655,0,0,2,-2.368665752064115
Đồng bằng sông Hồng,Hà Nam,2025,862.0,902.4726972706807,1047.9138104844212,23.809059369251234,1855.806783491863,0,2076.636746557927,150347.7860190847,115.94624512978884,6.450353653120784,0,0,0,-1.232788091019016
Đồng bằng sông Hồng,Nam Định,2025,1668.5,1913.0185116895404,1147.0407925572717,24.009135498404603,1760.0598521033116,0,2002.9756763447447,157932.76124729254,62.18040855688016,6.830463779108259,0,0,2,-2.759645298598502
Đồng bằng sông Hồng,Ninh Bình,2025,1386.8,1038.2034749293282,749.5213644487993,23.909097433827917,1810.2661349818422,0,1991.8760630249503,155494.4842847224,102.83262645346964,6.795908313109398,0,0,0,-0.7000082833463991
Trung du và miền núi phía Bắc,Hà Giang,2025,7929.5,918.1413280423276,116.32247896303902,22.908716788061056,2715.399202472763,0,3616.455830740335,151354.5970297944,42.29142023112939,2.8220297232403433,0,0,0,-6.167494277217877
Trung du và miền núi phía Bắc,Cao Bằng,2025,6700.3,561.8568818831678,83.95448481680208,21.508183883987456,1846.1712342525489,0,2576.1193459486817,147918.4806397783,48.957509724924975,2.99480705323465,0,0,0,-4.82242827582494
Trung du và miền núi phía Bắc,Bắc Kạn,2025,4860.0,332.1749723589158,68.7819875607535,22.108412271447573,2154.813090412889,0,2871.772682557755,142938.25508581245,61.41544746742821,3.1675843832289563,0,0,0,-3.4521047613675586
Trung du và miền núi phía Bắc,Tuyên Quang,2025,5867.9,828.9716557605869,141.60997438978663,23.60898324009786,2066.470317913495,0,2314.7739050553373,143952.04399461616,65.24025291468797,4.250322317859945,0,0,0,-3.1886097629158017
Trung du và miền núi phía Bắc,Lào Cai,2025,6364.0,795.6328529961409,125.42597731666817,22.908716788061056,2450.168031306385,0,3675.9901203646878,171389.139300332,105.23678987746149,4.089063476531925,0,0,0,-2.290744298293806
Trung du và miền núi phía Bắc,Yên Bái,2025,6887.7,872.7326251866901,126.43747713373807,23.208830981791117,2366.693746843697,0,2636.6626913293794,146766.13061167893,60.431926066704264,4.03147103320049,0,0,0,-4.5895309805925075
